,Movie,Rating
0,Toy Story (1995),[4.62151753]
85,In the Bleak Midwinter (1995),[2.92032159]
322,"Lion King, The (1994)",[2.8009649]
65,"Misérables, Les (1995)",[2.72291545]
460,"Savage Nights (Nuits fauves, Les) (1992)",[2.61507135]
744,Cat on a Hot Tin Roof (1958),[2.44177092]
323,Little Buddha (1993),[2.30394489]
794,"Lawnmower Man, The (1992)",[2.18291044]
735,Bringing Up Baby (1938),[2.17270762]
180,Bushwhacked (1995),[2.09746131]
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",[2.06263577]
621,Eraser (1996),[2.05140857]
471,Six Degrees of Separation (1993),[2.03474607]
2394,"Talented Mr. Ripley, The (1999)",[2.01631306]
827,Dirty Dancing (1987),[1.91069865]
1034,Cat People (1982),[1.85535394]
3641,"Defiant Ones, The (1958)",[1.79473946]
365,Black Beauty (1994),[1.75787321]
119,"Amazing Panda Adventure, The (1995)",[1.7218749]
862,Private Benjamin (1980),[1.71213224]
479,Surviving the Game (1994),[1.6044191]
35,Clueless (1995),[1.58146048]
27,Persuasion (1995),[1.57869813]
1186,"Simple Wish, A (1997)",[1.56665163]
313,"Flintstones, The (1994)",[1.55685186]
334,Speed (1994),[1.55500668]
34,It Takes Two (1995),[1.55279042]
134,Crimson Tide (1995),[1.53611728]
875,Dear God (1996),[1.53178216]
782,"Three Caballeros, The (1945)",[1.53120391]
1467,Child's Play 2 (1990),[1.52629624]
44,Pocahontas (1995),[1.51412699]
597,Thinner (1996),[1.48819099]
70,"Crossing Guard, The (1995)",[1.45034017]
1099,Angel Baby (1995),[1.4278852]
877,Bob Roberts (1992),[1.41009555]
361,Barcelona (1994),[1.40008894]
580,Flipper (1996),[1.39911346]
1133,Crash (1996),[1.37529338]
1035,"Nightmare on Elm Street, A (1984)",[1.36769975]
673,Land Before Time III: The Time of the Great Giving (1995),[1.35938759]
751,Fly Away Home (1996),[1.34953887]
271,Stuart Saves His Family (1995),[1.34621032]
1721,"Elephant Man, The (1980)",[1.33311271]
1066,Under Siege (1992),[1.3309054]
2146,Stop Making Sense (1984),[1.33062415]
430,Menace II Society (1993),[1.32918906]
778,Cool Runnings (1993),[1.32616327]
1640,Strangers on a Train (1951),[1.32399113]
22,Assassins (1995),[1.31290859]
1419,Hamlet (1948),[1.30682069]
1871,Peeping Tom (1960),[1.30572654]
1134,"Daytrippers, The (1996)",[1.27382808]
88,City Hall (1996),[1.26902979]
232,Love Affair (1994),[1.26546651]
1894,Christine (1983),[1.26401445]
472,Sleepless in Seattle (1993),[1.24970191]
450,"Remains of the Day, The (1993)",[1.2343358]
351,Federal Hill (1994),[1.2246845]
42,How to Make an American Quilt (1995),[1.20690326]
187,"Cure, The (1995)",[1.19585228]
1165,Ponette (1996),[1.19445497]
527,"Aristocats, The (1970)",[1.19267552]
141,Free Willy 2: The Adventure Home (1995),[1.19136347]
1938,"Walk on the Moon, A (1999)",[1.18932379]
26,Now and Then (1995),[1.17216138]
431,Executive Decision (1996),[1.16526188]
531,"Thin Line Between Love and Hate, A (1996)",[1.15936839]
331,Red Rock West (1992),[1.15537859]
917,"Big Blue, The (Grand bleu, Le) (1988)",[1.1457583]
415,What's Love Got to Do with It? (1993),[1.08985235]
446,"Program, The (1993)",[1.08566724]
172,Under Siege 2: Dark Territory (1995),[1.07911393]
53,"Indian in the Cupboard, The (1995)",[1.07835077]
1774,Fletch Lives (1989),[1.07824681]
470,Sirens (1994),[1.07189531]
1096,Fierce Creatures (1997),[1.0666034]
1711,"Producers, The (1968)",[1.05759808]
182,Before the Rain (Pred dozhdot) (1994),[1.05501355]
3096,Company Man (2000),[1.04837125]
1779,Lifeforce (1985),[1.04466809]
3105,Get Over It (2001),[1.04243676]
835,Sophie's Choice (1982),[1.016601]
69,Nico Icon (1995),[1.01067497]
25,Othello (1995),[1.00838496]
207,Fluke (1995),[1.00111862]
179,"Browning Version, The (1994)",[0.99794466]
1933,Dangerous Beauty (1998),[0.9925293]
222,"Kid in King Arthur's Court, A (1995)",[0.9920407]
4146,"Children's Hour, The (1961)",[0.99085029]
60,French Twist (Gazon maudit) (1995),[0.98734621]
125,"Addiction, The (1995)",[0.9800465]
3176,Triumph of the Will (Triumph des Willens) (1934),[0.97764109]
101,Anne Frank Remembered (1995),[0.9675728]
977,Young Frankenstein (1974),[0.96642545]
2852,Love and Death (1975),[0.96219209]
1103,Metro (1997),[0.95717556]
524,"Pallbearer, The (1996)",[0.95704424]
404,Hot Shots! Part Deux (1993),[0.94426493]
1773,Fletch (1985),[0.94178378]
401,Getting Even with Dad (1994),[0.93442668]
84,Broken Arrow (1996),[0.93147724]
642,"Adventures of Pinocchio, The (1996)",[0.92132044]
457,Romper Stomper (1992),[0.91665341]
77,White Squall (1996),[0.9148549]
915,Alien (1979),[0.9068692]
770,Old Yeller (1957),[0.88831039]
1400,Madeline (1998),[0.88141778]
4907,Peyton Place (1957),[0.87868277]
120,"Basketball Diaries, The (1995)",[0.87579019]
173,Unstrung Heroes (1995),[0.87368859]
1695,Clay Pigeons (1998),[0.8647554]
1125,Booty Call (1997),[0.85640049]
89,Bottle Rocket (1996),[0.85437716]
779,Angels in the Outfield (1994),[0.84674337]
444,"Piano, The (1993)",[0.84664377]
1424,West Side Story (1961),[0.84383754]
2144,Yellow Submarine (1968),[0.84130877]
2285,"Omega Man, The (1971)",[0.83857908]
1875,"Harmonists, The (1997)",[0.83519964]
656,Escape from L.A. (1996),[0.83347275]
262,"Queen Margot (Reine Margot, La) (1994)",[0.83188011]
766,"Davy Crockett, King of the Wild Frontier (1955)",[0.83091039]
865,Entertaining Angels: The Dorothy Day Story (1996),[0.82650477]
1044,Star Trek: First Contact (1996),[0.80633013]
39,Restoration (1995),[0.8036053]
763,D3: The Mighty Ducks (1996),[0.80306401]
6554,"Brothers Solomon, The (2007)",[0.80294118]
150,Love & Human Remains (1993),[0.80143823]
756,Infinity (1996),[0.80028611]
1054,Star Trek: The Motion Picture (1979),[0.79837657]
2627,Rules of Engagement (2000),[0.79762382]
758,Last Man Standing (1996),[0.7968064]
1116,"Pest, The (1997)",[0.79510363]
264,Roommates (1995),[0.79423567]
934,"Sting, The (1973)",[0.79384275]
994,"Room with a View, A (1986)",[0.79373751]
330,Reality Bites (1994),[0.79328444]
32,Babe (1995),[0.78918494]
2646,Diner (1982),[0.78884089]
902,Aliens (1986),[0.78861977]
1789,Steam: The Turkish Bath (Hamam) (1997),[0.78620499]
2829,But I'm a Cheerleader (1999),[0.78473397]
705,Citizen Kane (1941),[0.77691181]
1841,Virus (1999),[0.77653022]
1771,Desperately Seeking Susan (1985),[0.77394416]
2080,"Thomas Crown Affair, The (1968)",[0.77321907]
441,Orlando (1992),[0.7702434]
2188,Random Hearts (1999),[0.76957846]
194,Destiny Turns on the Radio (1995),[0.76930164]
670,"Trigger Effect, The (1996)",[0.76206746]
647,Foxfire (1996),[0.75606274]
476,So I Married an Axe Murderer (1993),[0.75188309]
1162,Addicted to Love (1997),[0.74826346]
538,"Family Thing, A (1996)",[0.74664583]
371,Boxing Helena (1993),[0.74610405]
1652,Mr. & Mrs. Smith (1941),[0.74577131]
4100,"Quiet American, The (2002)",[0.7426]
303,"Adventures of Priscilla, Queen of the Desert, The (1994)",[0.73928339]
3735,Hopscotch (1980),[0.7374782]
332,Richie Rich (1994),[0.7296014]
439,No Escape (1994),[0.72917866]
2997,Punchline (1988),[0.72731695]
2895,"Suddenly, Last Summer (1959)",[0.72515048]
1836,Hilary and Jackie (1998),[0.72309563]
325,"Mask, The (1994)",[0.72002617]
1030,Candyman (1992),[0.71943871]
391,With Honors (1994),[0.71675961]
421,Lassie (1994),[0.71263953]
1745,Meet Joe Black (1998),[0.71050524]
971,Patton (1970),[0.70839264]
1361,Mr. Nice Guy (Yat goh ho yan) (1997),[0.70680965]
2518,"Big Country, The (1958)",[0.70632579]
636,Fled (1996),[0.70506403]
1097,Zeus and Roxanne (1997),[0.7041926]
93,"Bridges of Madison County, The (1995)",[0.69734622]
2243,Three to Tango (1999),[0.69496904]
276,"Santa Clause, The (1994)",[0.68624714]
1198,Career Girls (1997),[0.68280102]
863,Monty Python and the Holy Grail (1975),[0.68217937]
1228,"Assignment, The (1997)",[0.67718784]
948,"Femme Nikita, La (Nikita) (1990)",[0.67402153]
2452,Hard-Boiled (Lat sau san taam) (1992),[0.67005765]
738,Little Lord Fauntleroy (1936),[0.66939195]
463,Searching for Bobby Fischer (1993),[0.66702403]
170,Total Eclipse (1995),[0.66625536]
1156,Broken English (1996),[0.66530911]
1470,Poltergeist II: The Other Side (1986),[0.66482495]
864,Hustler White (1996),[0.65681392]
2999,"Dude, Where's My Car? (2000)",[0.65461776]
136,Desperado (1995),[0.65285174]
1542,"Journey of Natty Gann, The (1985)",[0.65083133]
1038,"Omen, The (1976)",[0.65037462]
2122,Three Days of the Condor (3 Days of the Condor) (1975),[0.65028614]
748,Dangerous Ground (1997),[0.64904589]
2311,Poison Ivy (1992),[0.6462256]
1074,Raising Arizona (1987),[0.64608915]
887,Mediterraneo (1991),[0.64417178]
2629,Me Myself I (2000),[0.6433916]
1440,Take the Money and Run (1969),[0.64191202]
1601,Legend (1985),[0.63865733]
991,Being There (1979),[0.63829622]
199,Exotica (1994),[0.63615419]
356,"Age of Innocence, The (1993)",[0.63531292]
2599,"Place in the Sun, A (1951)",[0.63520947]
37,Richard III (1995),[0.63390859]
336,Timecop (1994),[0.63296554]
1345,Chinese Box (1997),[0.6323948]
731,His Girl Friday (1940),[0.6316756]
3153,Just Visiting (2001),[0.62366238]
469,"Simple Twist of Fate, A (1994)",[0.62226223]
1326,Welcome to Woop-Woop (1997),[0.62123375]
669,First Kid (1996),[0.62120562]
3079,Mannequin (1987),[0.61983707]
165,Something to Talk About (1995),[0.61625856]
2396,"Hurricane, The (1999)",[0.61587493]
1559,Sleeping Beauty (1959),[0.61540969]
2325,Mansfield Park (1999),[0.61444472]
3414,Planet of the Apes (2001),[0.61101549]
15,Casino (1995),[0.61046761]
461,Schindler's List (1993),[0.60564974]
1617,"NeverEnding Story, The (1984)",[0.60384703]
720,"Adventures of Robin Hood, The (1938)",[0.60321169]
193,Drop Zone (1994),[0.60132547]
1831,Stepmom (1998),[0.59982328]
692,Some Like It Hot (1959),[0.59801404]
1138,Cats Don't Dance (1997),[0.59795311]
6032,Dreamer: Inspired by a True Story (2005),[0.59770054]
5843,Knockin' on Heaven's Door (1997),[0.59559575]
3488,Into the Arms of Strangers: Stories of the Kindertransport (2000),[0.59531521]
3138,Enemy at the Gates (2001),[0.59517373]
14,Cutthroat Island (1995),[0.58999383]
604,Maya Lin: A Strong Clear Vision (1994),[0.58825441]
660,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),[0.5877506]
1925,Village of the Damned (1960),[0.5874389]
309,"Corrina, Corrina (1994)",[0.58386234]
1046,Sling Blade (1996),[0.5819803]
3729,Royal Wedding (1951),[0.58079994]
1327,Love and Death on Long Island (1997),[0.58025823]
795,"Secret Agent, The (1996)",[0.57240454]
1166,Schizopolis (1996),[0.57214989]
2425,Down to You (2000),[0.57115398]
2403,My Dog Skip (1999),[0.57078773]
2097,Airplane! (1980),[0.57065139]
